V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.50
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.50
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.50
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.50
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.40  , P : 0.03  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.40  , P : 0.03  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.45  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.50  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.55  , P : 0.04  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.60  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.70  , P : 0.05  , D : 0.49
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.11  , I : 0.80  , P : 0.09  , D : 0.49
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.80  , P : 0.06  , D : 0.49
V : 0.08  , I : 0.75  , P : 0.06  , D : 0.49
V : 0.11  , I : 0.75  , P : 0.08  , D : 0.49
V : 0.08  , I : 0.65  , P : 0.05  , D : 0.49
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.49
V : 0.11  , I : 0.65  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.49
V : 0.11  , I : 0.65  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.65  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.49
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.40  , P : 0.05  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.75  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.65  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.35  , P : 0.04  , D : 0.48
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.35  , P : 0.04  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.30  , P : 0.03  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.55  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.65  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.50  , P : 0.06  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.75  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.75  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.70  , P : 0.08  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.80  , P : 0.09  , D : 0.48
V : 0.11  , I : 0.90  , P : 0.10  , D : 0.48
V : 0.11  , I : 0.60  , P : 0.07  , D : 0.48
V : 0.11  , I : 0.45  , P : 0.05  , D : 0.48
V : 0.11  , I : 0.25  , P : 0.03  , D : 0.48
V : 0.11  , I : 0.25  , P : 0.03  , D : 0.48
V : 0.11  , I : 0.15  , P : 0.02  , D : 0.48
V : 0.11  , I : 0.30  , P : 0.03  , D : 0.48
V : 0.11  , I : 0.20  , P : 0.02  , D : 0.48
V : 0.11  , I : 0.05  , P : 0.01  , D : 0.48
V : 0.22  , I : 0.15  , P : 0.03  , D : 0.48
V : 0.11  , I : 0.10  , P : 0.01  , D : 0.48
V : 0.11  , I : 0.25  , P : 0.03  , D : 0.47
V : 0.11  , I : 0.10  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.10  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.10  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.20  , P : 0.02  , D : 0.47
V : 0.11  , I : 0.10  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.20  , P : 0.02  , D : 0.47
V : 0.11  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.11  , I : -0.05  , P : -0.01  , D : 0.47
V : 0.11  , I : 0.15  , P : 0.02  , D : 0.47
V : 0.11  , I : 0.20  , P : 0.02  , D : 0.47
V : 0.11  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.22  , I : 0.10  , P : 0.02  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.11  , I : 0.20  , P : 0.02  , D : 0.47
V : 0.22  , I : 0.00  , P : 0.00  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.47
V : 0.22  , I : 0.05  , P : 0.01  , D : 0.48
V : 0.22  , I : 0.10  , P : 0.02  , D : 0.48
V : 0.22  , I : 0.10  , P : 0.02  , D : 0.48
V : 0.V : 0.15  , I : -0.05  , P : -0.01  , D : 0.00
V : 0.18  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.18  , I : -0.10  , P : -0.02  , D : 0.00
V : 0.15  , I : 0.15  , P : 0.02  , D : 0.00
V : 0.15  , I : 0.10  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.10  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.10  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.00  , P : 0.00  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.20  , P : 0.03  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.00  , P : 0.00  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.15  , I : -0.05  , P : -0.01  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.11  , I : 0.15  , P : 0.02  , D : 0.00
V : 0.15  , I : 0.10  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 0.15  , I : 0.05  , P : 0.01  , D : 0.00
V : 10.84  , I : 1.10  , P : 11.92  , D : 0.00
V : 20.22  , I : 1.05  , P : 21.23  , D : 0.00
V : 16.10  , I : 1.00  , P : 16.10  , D : 0.50
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.50
V : 22.22  , I : 1.05  , P : 23.33  , D : 0.50
V : 24.71  , I : 0.80  , P : 19.77  , D : 0.50
V : 25.82  , I : 0.40  , P : 10.33  , D : 0.50
V : 26.06  , I : 0.30  , P : 7.82  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.15  , P : 3.92  , D : 0.50
V : 26.17  , I : 0.05  , P : 1.31  , D : 0.50
V : 26.17  , I : 0.15  , P : 3.92  , D : 0.50
V : 26.20  , I : 0.15  , P : 3.93  , D : 0.50
V : 26.20  , I : 0.15  , P : 3.93  , D : 0.50
V : 26.17  , I : 0.10  , P : 2.62  , D : 0.50
V : 26.20  , I : 0.10  , P : 2.62  , D : 0.50
V : 26.20  , I : 0.10  , P : 2.62  , D : 0.50
V : 26.20  , I : 0.10  , P : 2.62  , D : 0.50
V : 26.20  , I : 0.25  , P : 6.55  , D : 0.50
V : 26.20  , I : 0.15  , P : 3.93  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.30  , P : 7.85  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.20  , P : 5.23  , D : 0.50
V : 26.17  , I : 0.15  , P : 3.92  , D : 0.50
V : 26.20  , I : 0.30  , P : 7.86  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.15  , P : 3.93  , D : 0.50
V : 26.20  , I : 0.25  , P : 6.55  , D : 0.50
V : 26.20  , I : 0.30  , P : 7.86  , D : 0.50
V : 26.20  , I : 0.10  , P : 2.62  , D : 0.50
V : 26.20  , I : 0.25  , P : 6.55  , D : 0.50
V : 26.20  , I : 0.35  , P : 9.17  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.20  , P : 5.24  , D : 0.50
V : 26.20  , I : 0.35  , P : 9.17  , D : 0.50
V : 26.20  , I : 0.15  , P : 3.93  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.30  , P : 7.89  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.05  , P : 1.32  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.00  , P : 0.00  , D : 0.49
V : 26.37  , I : 0.30  , P : 7.91  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.30  , P : 7.91  , D : 0.49
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.49
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.49
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.05  , P : 1.32  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.30  , P : 7.89  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.37  , I : 0.25  , P : 6.59  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.35  , P : 9.21  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.25  , P : 6.58  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.15  , P : 3.95  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.30  , I : 0.30  , P : 7.89  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.30  , P : 7.89  , D : 0.50
V : 26.30  , I : 0.20  , P : 5.26  , D : 0.50
V : 26.30  , I : 0.10  , P : 2.63  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.50
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.15  , P : 3.96  , D : 0.50
V : 26.37  , I : 0.25  , P : 6.59  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.20  , P : 5.27  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.25  , P : 6.59  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.37  , I : 0.10  , P : 2.64  , D : 0.50
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.49
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.00  , P : 0.00  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.48
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.48
V : 26.44  , I : 0.05  , P : 1.32  , D : 0.48
V : 26.44  , I : 0.20  , P : 5.29  , D : 0.48
V : 26.44  , I : 0.25  , P : 6.61  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
V : 26.44  , I : 0.10  , P : 2.64  , D : 0.48
V : 26.44  , I : 0.15  , P : 3.97  , D : 0.48
